               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085025,            0.028444,           0.0074011,           0.0051247,             0.26992,            0.012333,           0.0045115,            0.072613,            0.023383,              0.0035,            0.067465,          0.00032864,          0.00032864
                   1,            0.069065,            0.025962,           0.0026427,             0.78737,             0.17907,             0.21321,             0.15695,            0.062003,            0.016554,            0.002659,            0.034453,          0.00065029,          0.00065029
                   2,            0.063869,             0.02144,           0.0020592,             0.60973,             0.24999,             0.22034,             0.13341,            0.060214,            0.013924,           0.0025539,           0.0014297,          0.00096018,          0.00096018
                   3,            0.062337,            0.020931,           0.0021723,             0.79051,             0.18915,             0.22562,             0.14267,             0.05564,            0.015964,           0.0022414,          0.00094706,          0.00094706,          0.00094706
                   4,            0.058098,            0.020193,           0.0020957,              0.8128,             0.27389,             0.23205,             0.17425,            0.052789,            0.014427,           0.0020027,          0.00094706,          0.00094706,          0.00094706
                   5,            0.055244,            0.019845,           0.0017315,             0.62094,             0.25876,             0.23881,              0.1753,            0.052009,            0.013819,           0.0020234,          0.00092941,          0.00092941,          0.00092941
                   6,            0.053436,            0.019083,           0.0020187,             0.60929,             0.27573,             0.25501,             0.18636,            0.047912,            0.013834,           0.0019059,          0.00091176,          0.00091176,          0.00091176
                   7,             0.05144,            0.018682,           0.0017942,             0.65494,             0.27857,             0.26745,             0.19536,            0.043411,            0.013424,           0.0018407,          0.00089412,          0.00089412,          0.00089412
                   8,            0.050794,            0.018453,           0.0017423,             0.64697,             0.28587,             0.25594,             0.18922,            0.046465,            0.013298,           0.0017676,          0.00087647,          0.00087647,          0.00087647
                   9,            0.050353,            0.018539,           0.0017551,             0.65631,             0.29576,             0.26428,              0.1996,            0.046494,            0.013458,           0.0017824,          0.00085882,          0.00085882,          0.00085882
                  10,            0.049525,            0.018581,           0.0013978,             0.63854,             0.27389,             0.26826,              0.2051,            0.043643,            0.013266,           0.0016401,          0.00084118,          0.00084118,          0.00084118
                  11,             0.04899,            0.018132,           0.0018532,             0.65169,             0.25013,             0.31499,             0.22842,            0.042368,            0.013477,           0.0015752,          0.00082353,          0.00082353,          0.00082353
                  12,            0.048211,            0.017836,           0.0013052,             0.64454,             0.26293,             0.29052,             0.21777,            0.041611,            0.013746,           0.0016732,          0.00080588,          0.00080588,          0.00080588
                  13,            0.046908,            0.018099,           0.0015668,             0.67141,             0.26613,             0.38159,               0.252,            0.045839,            0.012975,           0.0016229,          0.00078824,          0.00078824,          0.00078824
                  14,            0.047468,            0.017462,           0.0015144,             0.66687,              0.2749,             0.32778,             0.22821,            0.041666,            0.013109,           0.0017402,          0.00077059,          0.00077059,          0.00077059
                  15,            0.047326,             0.01794,           0.0015549,             0.65316,             0.32768,             0.34095,             0.24053,            0.040474,            0.012376,           0.0015897,          0.00075294,          0.00075294,          0.00075294
                  16,            0.045993,            0.017495,           0.0014119,             0.68571,             0.28533,              0.2951,              0.2156,            0.039922,            0.012831,           0.0015226,          0.00073529,          0.00073529,          0.00073529
                  17,            0.045409,            0.016829,           0.0013963,             0.72659,             0.31182,             0.32283,             0.22637,            0.040102,            0.012309,           0.0016214,          0.00071765,          0.00071765,          0.00071765
                  18,            0.044768,            0.017442,           0.0012439,             0.73746,             0.37574,             0.32461,             0.23284,            0.040727,            0.012528,           0.0015587,              0.0007,              0.0007,              0.0007
                  19,            0.044847,            0.016866,           0.0013919,             0.78133,             0.37244,             0.35849,             0.24777,            0.037399,            0.013336,           0.0015516,          0.00068235,          0.00068235,          0.00068235
                  20,            0.045131,            0.016999,            0.001396,             0.67371,             0.38329,             0.40407,             0.27806,            0.038667,            0.013991,           0.0015111,          0.00066471,          0.00066471,          0.00066471
                  21,            0.044194,            0.017255,           0.0014253,             0.59957,             0.38707,             0.36718,             0.27397,            0.037794,            0.012745,           0.0015099,          0.00064706,          0.00064706,          0.00064706
                  22,            0.043531,            0.016309,           0.0011272,              0.6782,             0.39004,             0.34007,             0.25092,            0.038214,            0.012547,           0.0015956,          0.00062941,          0.00062941,          0.00062941
                  23,            0.043887,            0.016747,           0.0014139,             0.76423,             0.37689,             0.33356,             0.23449,            0.038804,            0.012216,             0.00155,          0.00061176,          0.00061176,          0.00061176
                  24,            0.043403,            0.016237,           0.0012736,             0.90582,             0.29653,             0.42194,             0.27678,            0.038146,            0.012306,           0.0014631,          0.00059412,          0.00059412,          0.00059412
                  25,            0.043177,            0.015975,           0.0013951,              0.8413,             0.41742,             0.41233,             0.27618,            0.037548,            0.012652,            0.001428,          0.00057647,          0.00057647,          0.00057647
                  26,            0.042612,            0.016881,           0.0012699,             0.89992,             0.40016,             0.42099,             0.31673,            0.036169,            0.012335,           0.0014219,          0.00055882,          0.00055882,          0.00055882
                  27,            0.042536,            0.016401,           0.0014858,             0.88507,              0.4459,               0.441,             0.30375,            0.035214,            0.013007,           0.0014653,          0.00054118,          0.00054118,          0.00054118
                  28,            0.042652,            0.016692,           0.0013874,             0.80903,             0.42119,             0.44466,             0.26367,            0.035042,            0.012088,           0.0014205,          0.00052353,          0.00052353,          0.00052353
                  29,             0.04157,            0.015706,           0.0013231,             0.84218,             0.39804,             0.38292,             0.25919,            0.036188,            0.012252,           0.0014249,          0.00050588,          0.00050588,          0.00050588
                  30,            0.041381,            0.015923,           0.0012142,             0.71774,             0.36866,             0.35377,             0.22873,            0.036305,            0.011854,           0.0014414,          0.00048824,          0.00048824,          0.00048824
                  31,             0.04102,            0.015998,           0.0012097,             0.86311,             0.43486,             0.41268,             0.29498,            0.036115,            0.012092,           0.0013398,          0.00047059,          0.00047059,          0.00047059
                  32,             0.04102,            0.015953,           0.0012788,             0.89982,             0.44585,             0.44963,             0.31702,            0.034532,            0.011933,           0.0013515,          0.00045294,          0.00045294,          0.00045294
                  33,            0.039972,             0.01615,           0.0010034,               0.879,             0.37817,             0.40054,             0.27022,             0.03657,            0.011673,            0.001303,          0.00043529,          0.00043529,          0.00043529
                  34,                0.04,             0.01614,           0.0010413,              0.8753,             0.44286,             0.44349,             0.30933,            0.034513,             0.01198,           0.0013228,          0.00041765,          0.00041765,          0.00041765
                  35,            0.040391,            0.015982,           0.0012549,             0.89403,             0.42951,             0.44504,             0.32202,            0.035845,            0.012333,           0.0012602,              0.0004,              0.0004,              0.0004
                  36,            0.039322,              0.0165,           0.0012595,             0.82111,             0.45593,             0.43039,             0.31446,            0.032897,            0.011923,           0.0012126,          0.00038235,          0.00038235,          0.00038235
                  37,            0.038966,            0.016264,            0.001126,             0.86765,             0.44015,              0.4549,             0.33843,            0.033424,            0.012382,           0.0013827,          0.00036471,          0.00036471,          0.00036471
                  38,             0.03891,            0.016304,            0.001037,             0.85229,             0.42736,              0.4448,             0.31853,            0.032636,            0.012037,           0.0012736,          0.00034706,          0.00034706,          0.00034706
                  39,             0.03972,            0.016078,           0.0011062,             0.88394,              0.4432,             0.43869,             0.28127,            0.034356,            0.012434,           0.0012391,          0.00032941,          0.00032941,          0.00032941
                  40,            0.039334,            0.015105,           0.0010946,             0.88442,             0.45254,             0.43125,             0.31032,            0.034386,            0.011923,           0.0011843,          0.00031176,          0.00031176,          0.00031176
                  41,            0.038991,            0.015518,           0.0012871,             0.89151,             0.44902,             0.44884,             0.28448,            0.033501,            0.012325,           0.0012629,          0.00029412,          0.00029412,          0.00029412
                  42,            0.038755,            0.015171,           0.0010372,             0.83584,             0.40427,             0.42064,             0.30559,            0.033338,            0.011883,            0.001266,          0.00027647,          0.00027647,          0.00027647
                  43,            0.038162,            0.015243,           0.0013243,             0.87553,             0.44498,             0.43984,             0.29518,            0.033861,            0.011521,           0.0012694,          0.00025882,          0.00025882,          0.00025882
                  44,            0.037208,            0.015262,           0.0010815,             0.84186,              0.4605,             0.43711,             0.32203,            0.033582,            0.011759,           0.0012195,          0.00024118,          0.00024118,          0.00024118
                  45,            0.037063,            0.014886,          0.00092701,             0.81851,             0.42734,             0.42748,             0.30294,             0.03189,            0.011664,           0.0011648,          0.00022353,          0.00022353,          0.00022353
                  46,            0.037523,            0.015456,           0.0010564,              0.8946,              0.4528,             0.45639,             0.33714,            0.032023,             0.01183,           0.0012467,          0.00020588,          0.00020588,          0.00020588
                  47,            0.037493,            0.014785,           0.0011825,             0.87043,             0.42913,             0.45222,             0.30859,            0.032108,            0.011601,            0.001205,          0.00018824,          0.00018824,          0.00018824
                  48,             0.03728,            0.014844,           0.0013379,             0.91852,               0.448,             0.45807,             0.34662,            0.031591,            0.011854,           0.0012248,          0.00017059,          0.00017059,          0.00017059
                  49,            0.036711,            0.014467,           0.0011513,             0.90141,             0.44213,             0.46051,             0.33196,            0.032114,            0.011501,           0.0012249,          0.00015294,          0.00015294,          0.00015294
                  50,            0.036693,            0.014787,           0.0010575,             0.88049,               0.464,             0.45844,             0.31912,            0.031495,            0.011924,           0.0012023,          0.00013529,          0.00013529,          0.00013529
